基隆,01F0005
八堵,01F0029
五堵,01F0061
汐止,01F0099
東湖,01F0147
內湖,01F0153
圓山,01F0182
台北,01F0248
三重,01F0264
五股,01F0293
林口,01F0413
桃園,01F0492
內壢,01F0578
中壢,01F0633
幼獅,01F0681
楊梅,01F0699
湖口,01F0880
竹北,01F0928
新竹,01F0980
頭份,01F1123
頭屋,01F1292
苗栗,01F1389
銅鑼,01F1465
三義,01F1572
后里,01F1621
豐原,01F1699
大雅,01F1774
台中,01F1802
南屯,01F1839
王田,01F1906
彰化,01F2011
員林,01F2156
北斗,01F2249
西螺,01F2322
虎尾,01F2394
斗南,01F2425
大林,01F2514
民雄,01F2603
嘉義,01F2674
水上,01F2714
新營,01F2930
麻豆,01F3083
永康,01F3227
仁德,01F3286
路竹,01F3398
岡山,01F3535
楠梓,01F3590
高雄,01F3736
