summary_level,pair_id,day_type,time_period,p50_travel_time_sec,p95_travel_time_sec,buffer_time_sec,buffer_index,reliability_level,p50_travel_time_min,p95_travel_time_min,buffer_time_min
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekday,凌晨,47,53,6,0.1276595744680851,穩定,0.78,0.88,0.1
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekday,夜間,50,54,4,0.08,穩定,0.83,0.9,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekday,日間,50,55,5,0.1,穩定,0.83,0.92,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekday,早尖峰,48,53,5,0.10416666666666667,穩定,0.8,0.88,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekday,晚尖峰,50,55,5,0.1,穩定,0.83,0.92,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekend,凌晨,48,52,4,0.08333333333333333,穩定,0.8,0.87,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekend,夜間,52,56,4,0.07692307692307693,穩定,0.87,0.93,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekend,日間,50,54,4,0.08,穩定,0.83,0.9,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekend,早尖峰,47,51,4,0.0851063829787234,穩定,0.78,0.85,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0005S_01F0017S,Weekend,晚尖峰,52,56,4,0.07692307692307693,穩定,0.87,0.93,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekday,凌晨,45,50,5,0.1111111111111111,穩定,0.75,0.83,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekday,夜間,48,54,6,0.125,穩定,0.8,0.9,0.1
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekday,日間,48,53,5,0.10416666666666667,穩定,0.8,0.88,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekday,早尖峰,47,51,4,0.0851063829787234,穩定,0.78,0.85,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekday,晚尖峰,49,56,7,0.14285714285714285,穩定,0.82,0.93,0.12
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekend,凌晨,45,50,5,0.1111111111111111,穩定,0.75,0.83,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekend,夜間,48,52,4,0.08333333333333333,穩定,0.8,0.87,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekend,日間,48,52,4,0.08333333333333333,穩定,0.8,0.87,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekend,早尖峰,46,50,4,0.08695652173913043,穩定,0.77,0.83,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017N_01F0005N,Weekend,晚尖峰,49,55,6,0.12244897959183673,穩定,0.82,0.92,0.1
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekday,凌晨,46,51,5,0.10869565217391304,穩定,0.77,0.85,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekday,夜間,48,52,4,0.08333333333333333,穩定,0.8,0.87,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekday,日間,49,54,5,0.10204081632653061,穩定,0.82,0.9,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekday,早尖峰,48,56,8,0.16666666666666666,穩定,0.8,0.93,0.13
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekday,晚尖峰,49,54,5,0.10204081632653061,穩定,0.82,0.9,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekend,凌晨,46,50,4,0.08695652173913043,穩定,0.77,0.83,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekend,夜間,50,55,5,0.1,穩定,0.83,0.92,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekend,日間,48,53,5,0.10416666666666667,穩定,0.8,0.88,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekend,早尖峰,47,50,3,0.06382978723404255,穩定,0.78,0.83,0.05
L3_DAY_TYPE_TIME_PERIOD,01F0017S_01F0029S,Weekend,晚尖峰,51,55,4,0.0784313725490196,穩定,0.85,0.92,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekday,凌晨,46,51,5,0.10869565217391304,穩定,0.77,0.85,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekday,夜間,49,54,5,0.10204081632653061,穩定,0.82,0.9,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekday,日間,49,53,4,0.08163265306122448,穩定,0.82,0.88,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekday,早尖峰,47,51,4,0.0851063829787234,穩定,0.78,0.85,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekday,晚尖峰,49,55,6,0.12244897959183673,穩定,0.82,0.92,0.1
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekend,凌晨,46,50,4,0.08695652173913043,穩定,0.77,0.83,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekend,夜間,49,53,4,0.08163265306122448,穩定,0.82,0.88,0.07
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekend,日間,49,52,3,0.061224489795918366,穩定,0.82,0.87,0.05
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekend,早尖峰,47,50,3,0.06382978723404255,穩定,0.78,0.83,0.05
L3_DAY_TYPE_TIME_PERIOD,01F0029N_01F0017N,Weekend,晚尖峰,49,54,5,0.10204081632653061,穩定,0.82,0.9,0.08
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekday,凌晨,121,134,13,0.10743801652892562,穩定,2.02,2.23,0.22
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekday,夜間,125,136,11,0.088,穩定,2.08,2.27,0.18
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekday,日間,128,144,16,0.125,穩定,2.13,2.4,0.27
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekday,早尖峰,134,443,309,2.3059701492537314,高風險,2.23,7.38,5.15
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekday,晚尖峰,131,145,14,0.10687022900763359,穩定,2.18,2.42,0.23
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekend,凌晨,121,130,9,0.0743801652892562,穩定,2.02,2.17,0.15
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekend,夜間,133,179,46,0.3458646616541353,普通,2.22,2.98,0.77
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekend,日間,128,148,20,0.15625,穩定,2.13,2.47,0.33
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekend,早尖峰,121,131,10,0.08264462809917356,穩定,2.02,2.18,0.17
L3_DAY_TYPE_TIME_PERIOD,01F0029S_01F0061S,Weekend,晚尖峰,140,242,102,0.7285714285714285,不穩定,2.33,4.03,1.7
L3_DAY_TYPE_TIME_PERIOD,01F0061N_01F0029N,Weekday,凌晨,120,134,14,0.11666666666666667,穩定,2.0,2.23,0.23
L3_DAY_TYPE_TIME_PERIOD,01F0061N_01F0029N,Weekday,夜間,127,140,13,0.10236220472440945,穩定,2.12,2.33,0.22
L3_DAY_TYPE_TIME_PERIOD,01F0061N_01F0029N,Weekday,日間,127,137,10,0.07874015748031496,穩定,2.12,2.28,0.17
