pair_id,pair_roadname,start_gantry_id,start_roadname,start_link_id,start_longitude,start_latitude,end_gantry_id,end_roadname,end_link_id,end_longitude,end_latitude,distance_km,direction
01F0005S_01F0017S,基隆-八堵,01F0005S,基隆,0000100000040C,121.731764,25.118786,01F0017S,八堵,0000100000130C,121.725906,25.109567,1.2,South
01F0017N_01F0005N,基隆-基隆端,01F0017N,基隆,0000100100160C,121.725906,25.109567,01F0005N,基隆端,0000100100050C,121.731636,25.118311,1.2,North
01F0017S_01F0029S,八堵-大華系統,01F0017S,八堵,0000100000130C,121.725906,25.109567,01F0029S,大華系統,0000100000260C,121.717856,25.102836,1.2,South
01F0029N_01F0017N,八堵-基隆,01F0029N,八堵,0000100100270C,121.717856,25.102836,01F0017N,基隆,0000100100160C,121.725906,25.109567,1.2,North
01F0029S_01F0061S,大華系統-五堵,01F0029S,大華系統,0000100000260C,121.717856,25.102836,01F0061S,五堵,0000100000600C,121.693644,25.088272,3.2,South
01F0061N_01F0029N,大華系統-八堵,01F0061N,大華系統,0000100100600C,121.693644,25.088272,01F0029N,八堵,0000100100270C,121.717856,25.102836,3.2,North
01F0061N_03F0087S,大華系統-汐止系統,01F0061N,大華系統,0000100100600C,121.693644,25.088272,03F0087S,汐止系統,0000300000870F,121.653556,25.089994,11.5,South
01F0061S_01F0099S,五堵-汐止&汐止系統,01F0061S,五堵,0000100000600C,121.693644,25.088272,01F0099S,汐止&汐止系統,0000101006000F,121.659478,25.076264,3.8,South
01F0099N_01F0061N,五堵-大華系統,01F0099N,五堵,0000100100900F,121.659422,25.076044,01F0061N,大華系統,0000100100600C,121.693644,25.088272,3.8,North
01F0099S_01F0147S,汐止&汐止系統-東湖,01F0099S,汐止&汐止系統,0000101006000F,121.659478,25.076264,01F0147S,東湖,0000100001440A,121.613519,25.065644,4.8,South
01F0099S_01H0163S,汐止&汐止系統-堤頂,01F0099S,汐止&汐止系統,0000101006000F,121.659478,25.076264,01H0163S,堤頂,00001A0001600A,121.598733,25.064006,6.4,South
01F0099S_03F0054N,汐止&汐止系統-瑪東系統,01F0099S,汐止&汐止系統,0000101006000F,121.659478,25.076264,03F0054N,瑪東系統,0000300100520C,121.681789,25.103747,6.3,North
01F0099S_03F0116S,汐止&汐止系統-新台五路,01F0099S,汐止&汐止系統,0000101006000F,121.659478,25.076264,03F0116S,新台五路,0000300001160F,121.643467,25.065611,2.5,South
01F0147N_01F0099N,汐止&汐止系統-五堵,01F0147N,汐止&汐止系統,0000100101440A,121.613519,25.065644,01F0099N,五堵,0000100100900F,121.659422,25.076044,4.8,North
